rep,regime,method,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256,weight_strategy
4,target_mark_collapse,tsvd,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.0,-0.0588,0.0588,3.6833997000940144e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
4,rounded_hidden_time,crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,1.0,,,,0.008950959003414027,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,certificate_optimal
4,rounded_hidden_time,naive_boundary,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,1.0053282212968904,0.9465282212968904,1.0641282212968903,9.4832998001948e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
4,rounded_hidden_time,ridge,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.8805677717695366,0.8217677717695366,0.9393677717695366,1.820900070015341e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
4,rounded_hidden_time,tsvd,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.8807498870269717,0.8219498870269717,0.9395498870269716,3.545900108292699e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,fine_4h,crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,1.0,1.0073409643571993,0.925449380459856,1.0892325482545426,0.10109691700199619,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,certificate_optimal
5,fine_4h,naive_boundary,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,1.0,1.0007702572251447,0.9419702572251447,1.0595702572251446,0.00010695800301618874,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,fine_4h,ridge,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,1.0,0.9978778255104626,0.9390778255104626,1.0566778255104625,2.070800110232085e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,fine_4h,tsvd,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,1.0,0.998128944287027,0.9393289442870271,1.056928944287027,4.358300066087395e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,daily_gap,crome,SET_ESTIMABLE,NONIDENTIFIED,SET,NONRECOVERABLE,NONIDENTIFIED,SET,assumption_conditional,1.0,,0.8603264260709114,1.1540912758492041,0.06582545900164405,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,certificate_optimal
5,daily_gap,naive_boundary,SET_ESTIMABLE,NONIDENTIFIED,SET,INCONCLUSIVE,,,,1.0,,,,4.533399624051526e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,daily_gap,ridge,SET_ESTIMABLE,NONIDENTIFIED,SET,POINT_ESTIMABLE,,,,1.0,0.0,-0.0588,0.0588,3.937499423045665e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,daily_gap,tsvd,SET_ESTIMABLE,NONIDENTIFIED,SET,POINT_ESTIMABLE,,,,1.0,0.0,-0.0588,0.0588,4.470899875741452e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,target_mark_collapse,crome,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,1.0,,,,0.018575791997136548,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,certificate_optimal
5,target_mark_collapse,naive_boundary,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.9977730601444965,0.9389730601444966,1.0565730601444965,9.208299888996407e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,target_mark_collapse,ridge,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.0,-0.0588,0.0588,2.0374995074234903e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,target_mark_collapse,tsvd,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,0.0,-0.0588,0.0588,3.904200275428593e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
5,rounded_hidden_time,crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,1.0,,,,0.008796916001301724,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,certificate_optimal
5,rounded_hidden_time,naive_boundary,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,1.0,1.0061675761825684,0.9473675761825684,1.0649675761825683,9.145800140686333e-05,5aa4244363ebb317d4d07237a51357819655d54eead8ce2fe97c0ff39b12d689,
