rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
1,250,10,5,4,1000,0.0002127920015482232,0.52429604200006,0.45565970800089417,3565070,1895440,88080,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,5,1,1000,0.00021062500309199095,0.5364187500017579,0.46911895900120726,3564994,1895600,88080,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,20,1,1000,0.0007876669988036156,0.5302954579965444,0.45634433300438104,3564999,1895396,88080,9.992007221626409e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,250,30,5,4,1000,0.0005947500030742958,1.4208605840030941,1.1859509169953526,9082170,4655324,248240,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,250,60,5,4,1000,0.0011589159985305741,2.6769499580041156,2.3727592499999446,17423831,8928193,488480,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,500,3,5,4,2000,0.00016266699822153896,0.4724927499992191,0.20468433300266042,3153766,850780,64024,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,500,10,5,4,2000,0.0004027920003863983,1.0456571249960689,0.4582390409996151,7117259,1895690,176080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,500,30,5,4,2000,0.001259165997907985,2.787596999995003,1.209121709005558,18150064,4655535,496240,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,500,60,5,4,2000,0.0023988750035641715,5.47378624999692,2.348453165999672,34827671,8927872,976480,1.7763568394002505e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,3,5,4,4000,0.0002547920012148097,0.9005478339968249,0.1884542500047246,6304627,851062,128024,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,1,4,4000,0.0001789579982869327,2.142008041999361,0.4616842089963029,14230466,1895344,352080,2.7755575615628914e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,5,4,4000,0.0008600840010331012,2.140335750002123,0.46609791700029746,14230432,1895447,352080,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,20,4,4000,0.003050833001907449,2.152611124998657,0.4816776250008843,14232608,1894979,352080,0.0,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,30,5,4,4000,0.002320125000551343,5.6915057500009425,1.189150875004998,36293404,4656057,992240,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,60,5,4,4000,0.005419250002887566,10.88868354200531,2.2978077919979114,69647492,8928420,1952480,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,2000,3,5,4,8000,0.0005004580016247928,1.81452929200168,0.19264062499860302,12609143,850924,256024,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,2000,10,5,4,8000,0.0015402499993797392,4.277863208997587,0.44913341700157616,28460209,1895216,704080,1.9984014443252818e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,2000,30,5,4,8000,0.004615541001840029,11.348057791998144,1.2912416660037707,72584485,4654881,1984240,1.5543122344752192e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
