rep,cell,variant,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,typed_contract_enforced,proof_verification_mandatory,ablated_component,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256
0,scale_large,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.002887875001761131,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_large,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,1.027098682518007,0.932399018595944,1.12179834644007,0.018625082993821707,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_large,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,0.9975666705582732,0.7775666705582732,1.2175666705582733,1.2332995538599789e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_large,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.027098682518007,0.932399018595944,1.12179834644007,0.018594665998534765,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_large,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.027098682518007,0.932399018595944,1.12179834644007,0.01865337500203168,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,full_crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0027004579969798215,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,no_support_certifier,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.0026472910030861385,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,no_target_null_check,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,target_null_check,1.0,,,,0.0026356669986853376,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,force_point,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,False,False,,1.0,0.0,-0.22,0.22,1.5292003809008747e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,no_mark_sharing,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0027060420034104027,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,unsupported_corrupted,fixed_tolerance,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0027004579969798215,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,full_crome,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.00472204099787632,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,no_support_certifier,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,support_certifier,1.0,,,,0.00461150000046473,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,no_target_null_check,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,target_null_check,1.0,,,,0.0005546250031329691,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,force_point,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,False,False,,1.0,0.0,-0.22,0.22,1.270900247618556e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,no_mark_sharing,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.004616791004082188,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,structural_null,fixed_tolerance,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.00472204099787632,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
