rep,regime,method,expected_status,expected_structural_status,expected_operational_status,predicted_status,true_target,point_estimate,interval_lower,interval_upper,false_point,abstained,failed,runtime_seconds,weight_strategy,config_sha256
2,structural_target_null,naive_boundary,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,1.0003202814270846,0.6985641769139894,1.3020763859401798,1,0,0,3.3958000130951405e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,structural_target_null,ridge,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7000240654779604,0.6944162111956461,0.7056319197602746,1,0,0,1.358399458695203e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,structural_target_null,tsvd,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7000338392741904,0.6944259079486198,0.705641770599761,1,0,0,2.6749999960884452e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,sparse_near_zero,crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,1.0,,,,0,1,0,0.0046902920003049076,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,sparse_near_zero,naive_boundary,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9965865610358414,0.7942786019604837,1.1988945201111991,1,0,0,5.7792000006884336e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,sparse_near_zero,ridge,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9999594873327668,0.988421441902321,1.0114975327632127,1,0,0,1.587499718880281e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
2,sparse_near_zero,tsvd,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9999888242887253,0.9884504457851525,1.011527202792298,1,0,0,3.229199501220137e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,strong_support_full_rank,crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.000936754779017,0.9875434949713507,1.0143300145866831,0,0,0,0.03654804200050421,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,strong_support_full_rank,naive_boundary,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0010058783579743,0.9783729208640299,1.0236388358519186,0,0,0,5.045800207881257e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,strong_support_full_rank,ridge,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0009367547790178,0.989101096942117,1.0127724126159185,0,0,0,2.3584005248267204e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
